id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],7.1,34854
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],6.7,14277
tm20712,Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],7.6,19646
tm130586,Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],4.9,8374
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],6.7,3126
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],6.4,2866
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],6.1,1759
ts987,Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],7.4,3514
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,"['scifi', 'drama', 'war', 'animation', 'action']",['JP'],7.2,1242
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,120,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],7.3,1649
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],7.2,651
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,,30,"['comedy', 'documentation']",['US'],6,353
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],7.9,15186
tm114356,The George McKenna Story,MOVIE,1988,,100,['drama'],['US'],6,901
tm147829,Unspeakable Acts,MOVIE,1990,,100,['drama'],['US'],6,448
tm126769,Waiting for the Hearse,MOVIE,1985,,87,['comedy'],['AR'],8,6285
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],7.7,1210
tm159912,Agneepath,MOVIE,1990,,174,"['action', 'crime', 'drama']",['IN'],7.6,8902
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,['comedy'],['GB'],8.1,1522
tm38736,Too Young The Hero,MOVIE,1988,,100,"['drama', 'war']",['US'],6.7,494
tm258072,Adam: His Song Continues,MOVIE,1986,,100,"['crime', 'drama']",['US'],7,209
tm52815,Disco Dancer,MOVIE,1982,,134,"['drama', 'romance']",['IN'],6.5,1449
