name,genre
Evil Under the Sun,Crime
The Sword and the Sorcerer,Action
Death Wish II,Action
Silent Rage,Action
Megaforce,Action
Personal Best,Drama
Dead Men Don't Wear Plaid,Comedy
Amityville II: The Possession,Horror
Missing,Biography
Frances,Biography
The Seduction,Thriller
Cannery Row,Comedy
Deathtrap,Comedy
Tex,Drama
Time Walker,Horror
"I, the Jury",Crime
Tempest,Comedy
Young Doctors in Love,Comedy
My Favorite Year,Comedy
Still of the Night,Crime
Parasite,Horror
Making Love,Drama
Honkytonk Man,Comedy
The Beast Within,Horror
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Comedy
The Final Option,Action
Trail of the Pink Panther,Comedy
The Sender,Drama
The Border,Crime
Kiss Me Goodbye,Comedy
A Midsummer Night's Sex Comedy,Comedy
Vice Squad,Action
Best Friends,Comedy
Shoot the Moon,Drama
Lookin' to Get Out,Comedy
Barbarosa,Western
Visiting Hours,Horror
A Little Sex,Comedy
Class Reunion,Comedy
Hanky Panky,Action
Author! Author!,Comedy
Split Image,Drama
The Challenge,Action
The Soldier,Action
Wrong Is Right,Comedy
Six Weeks,Drama
The State of Things,Drama
Jekyll and Hyde... Together Again,Sci-Fi
Forced Vengeance,Action
The Missionary,Comedy
The Escape Artist,Comedy
Night Crossing,Drama
Endangered Species,Drama
Things Are Tough All Over,Action
Homework,Comedy
Jinxed!,Comedy
The Return of Martin Guerre,Biography
They Call Me Bruce,Action
Some Kind of Hero,Comedy
Hammett,Crime
Five Days One Summer,Drama
Penitentiary II,Crime
If You Could See What I Hear,Biography
Partners,Comedy
Richard Pryor: Live on the Sunset Strip,Comedy
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Animation
Monsignor,Crime
"Yes, Giorgio",Comedy
I Ought to Be in Pictures,Comedy
La traviata,Drama
Fighting Back,Action
Kamikaze 89,Sci-Fi
The Wizard of Oz,Animation
Heidi's Song,Animation
Love Child,Crime
Boardinghouse,Comedy
Experience Preferred... But Not Essential,Drama
The Personals,Comedy
Lonely Hearts,Comedy
Scarface,Crime
The Outsiders,Crime
Star Wars: Episode VI - Return of the Jedi,Action
Risky Business,Comedy
National Lampoon's Vacation,Adventure
Trading Places,Comedy
Superman III,Action
The Big Chill,Comedy
Staying Alive,Drama
Jaws 3-D,Adventure
Christine,Horror
Sleepaway Camp,Horror
Flashdance,Drama
WarGames,Action
The Right Stuff,Adventure
Krull,Action
Spring Break,Comedy
The Dead Zone,Drama
Octopussy,Action
Private School,Comedy
Valley Girl,Comedy
Rumble Fish,Crime
Videodrome,Horror
Terms of Endearment,Comedy
Twilight Zone: The Movie,Horror
Never Say Never Again,Action
A Christmas Story,Comedy
Cujo,Horror
Sudden Impact,Action
The Hunger,Drama
Mr. Mom,Comedy
Blue Thunder,Action
Breathless,Action
Psycho II,Crime
Local Hero,Comedy
Bad Boys,Crime
Silkwood,Biography
All the Right Moves,Drama
The Keep,Drama
My Tutor,Comedy
Yentl,Drama
Fire and Ice,Animation
Eddie and the Cruisers,Drama
Yellowbeard,Action
The Meaning of Life,Comedy
Nostalghia,Drama
Hot Dog... The Movie,Comedy
Smokey and the Bandit Part 3,Action
Deathstalker,Action
Porky's II: The Next Day,Comedy
Something Wicked This Way Comes,Fantasy
Tender Mercies,Drama
Star 80,Biography
Gorky Park,Crime
Lone Wolf McQuade,Action
Easy Money,Comedy
Merry Christmas Mr. Lawrence,Drama
Losin' It,Comedy
Screwballs,Comedy
Brainstorm,Sci-Fi
The Man with Two Brains,Comedy
Angel,Action
10 to Midnight,Crime
Uncommon Valor,Action
Doctor Detroit,Comedy
Mortuary,Horror
Stroker Ace,Action
Sahara,Adventure
Two of a Kind,Comedy
Chained Heat,Action
Spacehunter: Adventures in the Forbidden Zone,Action
High Road to China,Adventure
Never Cry Wolf,Adventure
The Pirates of Penzance,Comedy
Rock & Rule,Animation
Hercules,Adventure
Educating Rita,Comedy
A Night in Heaven,Drama
Under Fire,Drama
Amityville 3-D,Horror
Testament,Drama
The Osterman Weekend,Action
Revenge of the Ninja,Action
Zelig,Comedy
Independence Day,Drama
Escape from the Bronx,Action
To Be or Not to Be,Comedy
Eureka,Drama
The Wicked Lady,Adventure
Still Smokin,Comedy
"Yor, the Hunter from the Future",Action
Of Unknown Origin,Horror
Curse of the Pink Panther,Comedy
D.C. Cab,Action
Beyond the Limit,Drama
The Survivors,Comedy
The Lonely Lady,Drama
The Star Chamber,Crime
The Dresser,Drama
The Lords of Discipline,Thriller
Cross Creek,Biography
The Man Who Loved Women,Comedy
Nightmares,Horror
Deal of the Century,Comedy
Eddie Macon's Run,Action
Max Dugan Returns,Comedy
The Sting II,Comedy
Baby It's You,Comedy
Heat and Dust,Drama
Going Berserk,Comedy
Daniel,Drama
Heart Like a Wheel,Biography
Love Letters,Drama
Get Crazy,Comedy
Nate and Hayes,Action
Strange Invaders,Horror
The Black Stallion Returns,Adventure
Metalstorm: the Destruction of Jared-Syn,Action
Getting It on,Comedy
Lianna,Drama
Better Late Than Never,Comedy
Lovesick,Comedy
Running Brave,Biography
Exposed,Drama
Trenchcoat,Comedy
Stryker,Action
The Man Who Wasn't There,Action
Table for Five,Drama
Romantic Comedy,Comedy
Young Warriors,Action
"Man, Woman and Child",Drama
Hanna K.,Drama
Slayground,Crime
White Star,Drama
Richard Pryor... Here and Now,Comedy
Deadly Force,Action
My Brother's Wedding,Drama
Blue Skies Again,Comedy
Last Plane Out,Action
Cross Country,Thriller
A Polish Vampire in Burbank,Comedy
Forever Young,Drama
The Golden Seal,Drama
The Business of Show Business,History
The Terminator,Action
Dune,Action
Ghostbusters,Action
The Karate Kid,Action
Once Upon a Time in America,Crime
Police Academy,Comedy
Indiana Jones and the Temple of Doom,Action
Body Double,Crime
A Nightmare on Elm Street,Horror
Amadeus,Biography
Beverly Hills Cop,Action
Red Dawn,Action
The NeverEnding Story,Adventure
Footloose,Drama
Revenge of the Nerds,Comedy
Gremlins,Comedy
Romancing the Stone,Action
Streets of Fire,Action
Sixteen Candles,Comedy
"Paris, Texas",Drama
This Is Spinal Tap,Comedy
1984,Drama
Top Secret!,Comedy
Conan the Destroyer,Action
Children of the Corn,Horror
The Last Starfighter,Action
Splash,Comedy
Blood Simple,Crime
The Natural,Drama
Bachelor Party,Comedy
Nausicaä of the Valley of the Wind,Animation
Friday the 13th: the Final Chapter,Horror
Hardbodies,Comedy
Against All Odds,Action
Supergirl,Action
The Bounty,Adventure
Firestarter,Action
C.H.U.D.,Horror
The Woman in Red,Comedy
Runaway,Action
The Adventures of Buckaroo Banzai Across the 8th Dimension,Adventure
Star Trek III: The Search for Spock,Action
Repo Man,Action
2010: the Year We Make Contact,Adventure
The Killing Fields,Biography
The Cotton Club,Crime
Starman,Romance
Night of the Comet,Comedy
Blame It on Rio,Comedy
Dreamscape,Action
